player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Michael Pittman Jr.,IND,WR,16,2025,75.0,1.08,0.07,0.84,0.05
Tetairoa McMillan,CAR,WR,16,2025,76.0,1.05,0.07,0.83,0.05
Baker Mayfield,TB,QB,16,2025,77.0,1.02,0.06,,
Jacoby Brissett,ARI,QB,13,2025,78.0,1.02,0.08,,
J.K. Dobbins,DEN,RB,10,2025,79.0,1.01,0.1,0.35,0.03
David Montgomery,DET,RB,16,2025,80.0,0.98,0.06,-0.27,-0.02
Jaylen Waddle,MIA,WR,16,2025,81.0,0.97,0.06,0.76,0.05
DK Metcalf,PIT,WR,15,2025,82.0,0.97,0.06,0.83,0.06
Quentin Johnston,LAC,WR,14,2025,83.0,0.95,0.07,0.71,0.05
Lamar Jackson,BAL,QB,12,2025,84.0,0.94,0.08,,
Deebo Samuel Sr.,WAS,WR,15,2025,85.0,0.94,0.06,0.73,0.05
DeVonta Smith,PHI,WR,16,2025,86.0,0.94,0.06,0.65,0.04
Hunter Henry,NE,TE,16,2025,87.0,0.93,0.06,0.66,0.04
Emeka Egbuka,TB,WR,16,2025,88.0,0.93,0.06,0.61,0.04
Sam LaPorta,DET,TE,9,2025,89.0,0.91,0.1,0.84,0.09
Kimani Vidal,LAC,RB,12,2025,90.0,0.88,0.07,-0.14,-0.01
Christian Watson,GB,WR,10,2025,91.0,0.86,0.09,0.72,0.07
Woody Marks,HOU,RB,15,2025,92.0,0.84,0.06,-0.39,-0.03
Garrett Wilson,NYJ,WR,7,2025,93.0,0.83,0.12,0.69,0.1
Tyrone Tracy Jr.,NYG,RB,14,2025,94.0,0.83,0.06,-0.27,-0.02
Jordan Love,GB,QB,15,2025,95.0,0.82,0.05,,
Rome Odunze,CHI,WR,12,2025,96.0,0.8,0.07,0.52,0.04
Aaron Jones Sr.,MIN,RB,12,2025,97.0,0.77,0.06,-0.09,-0.01
Dalton Kincaid,BUF,TE,11,2025,98.0,0.73,0.07,0.59,0.05
Jacory Croskey-Merritt,WAS,RB,16,2025,99.0,0.72,0.04,-0.66,-0.04
Kareem Hunt,KC,RB,16,2025,100.0,0.71,0.04,-0.58,-0.04
Kyle Monangai,CHI,RB,16,2025,101.0,0.71,0.04,-0.6,-0.04
Ladd McConkey,LAC,WR,16,2025,102.0,0.69,0.04,0.44,0.03
Jauan Jennings,SF,WR,14,2025,103.0,0.68,0.05,0.54,0.04
Justin Jefferson,MIN,WR,16,2025,104.0,0.67,0.04,0.49,0.03
Chuba Hubbard,CAR,RB,14,2025,105.0,0.62,0.04,-0.51,-0.04
Rachaad White,TB,RB,16,2025,106.0,0.61,0.04,-0.67,-0.04
Zach Ertz,WAS,TE,13,2025,107.0,0.58,0.04,0.4,0.03
Joe Burrow,CIN,QB,7,2025,108.0,0.55,0.08,,
Alvin Kamara,NO,RB,11,2025,109.0,0.55,0.05,-0.27,-0.02
Alec Pierce,IND,WR,14,2025,110.0,0.53,0.04,0.29,0.02
Justin Fields,NYJ,QB,9,2025,111.0,0.49,0.05,,
C.J. Stroud,HOU,QB,13,2025,112.0,0.48,0.04,,
Troy Franklin,DEN,WR,16,2025,113.0,0.48,0.03,0.14,0.01
Colston Loveland,CHI,TE,15,2025,114.0,0.47,0.03,0.16,0.01
Jayden Daniels,WAS,QB,7,2025,115.0,0.47,0.07,,
Sam Darnold,SEA,QB,16,2025,116.0,0.46,0.03,,
Tyjae Spears,TEN,RB,12,2025,117.0,0.45,0.04,-0.51,-0.04
