Player,Team,FPTS,FPTS High,FPTS Low,Bye,ADP Rank,POS,ADP,AVG,MODE,MAD,AVG High,AVG Low,Pos,WAR,WAR High,WAR Low,WAR MAD,Rank,Historical WAR,Pos Rank,Overall Rank,Dollar Value,Flex WAR,Flex WAR High,Flex WAR Low,Diff,Tier
Jalen Reagor,NE,20.43,25.0,15.25,14,768,WR248,653.0,1.2017647058823528,21.04,1.2376470588235293,1.4705882352941178,0.8970588235294118,WR,-2.943111646143301,-2.861322136880408,-3.0345631118776937,-2.932254280592264,174.0,-2.0786437668044337,174.0WR,447.0,1500.0,-3.4257818031241323,-3.331783511907864,-3.5312629783758154,206.0,16
Chris Moore,ARI,20.29,31.8,13.129999999999999,11,717,WR233,575.0,1.1935294117647057,15.939999999999998,0.9376470588235293,1.8705882352941177,0.7723529411764706,WR,-2.9456008923707477,-2.7377200675016695,-3.0716039092114196,-3.02245875140324,175.0,-2.086673749056935,175.0WR,448.0,1500.0,-3.428647605829741,-3.190326456106595,-3.57410163493804,127.0,16
C.J. Ham,MIN,6.969999999999999,9.499999999999998,5.040000000000001,6,415,RB96,394.5,0.4099999999999999,6.369999999999997,0.374705882352941,0.5588235294117646,0.29647058823529415,RB,-2.9502719544369578,-2.9059565871046837,-2.983861599073446,-2.960734401627582,132.0,-1.3744284403839326,132.0RB,449.0,1500.0,-3.6974657261172776,-3.646999697973724,-3.735772973850831,-54.5,16
Keilan Robinson,JAC,6.800000000000001,6.800000000000001,6.800000000000001,12,874,RB215,791.0,0.4,6.800000000000001,0.4,0.4,0.4,RB,-2.953238151389795,-2.953238151389795,-2.953238151389795,-2.953238151389795,133.0,-1.3821176704402909,133.0RB,450.0,1500.0,-3.700846583863829,-3.700846583863829,-3.700846583863829,341.0,16
Brenden Rice,LAC,19.790000000000003,31.2,8.98,5,272,WR84,288.0,1.1641176470588237,19.190000000000005,1.128823529411765,1.8352941176470587,0.5282352941176471,WR,-2.9544831029795673,-2.748717003236509,-3.1434580920135495,-2.965125337789942,176.0,-2.1008753142017618,176.0WR,451.0,1500.0,-3.4388758723789135,-3.202883283031678,-3.6573951935944855,-163.0,16
Zach Pascal,ARI,19.549999999999997,27.299999999999997,11.100000000000001,11,586,WR189,512.0,1.15,20.249999999999993,1.1911764705882348,1.6058823529411763,0.6529411764705884,WR,-2.958742147075975,-2.819769052274509,-3.106860400994549,-2.9463119266505013,177.0,-2.106366901144738,177.0WR,452.0,1500.0,-3.4437816933870304,-3.284148556056783,-3.614939180996802,60.0,16
Kayshon Boutte,NE,19.37,31.3,6.73,14,555,WR180,582.5,1.1394117647058823,20.08,1.1811764705882353,1.8411764705882354,0.3958823529411765,WR,-2.961934548941994,-2.7468853966744744,-3.18205124339051,-2.9493329349733357,178.0,-2.114748566235037,178.0WR,453.0,1500.0,-3.4474594621623176,-3.200791481126224,-3.7022383294137806,129.5,16
Keaontay Ingram,KC,6.0,6.0,6.0,6,481,RB112,348.0,0.35294117647058826,6.0,0.35294117647058826,0.35294117647058826,0.35294117647058826,RB,-2.9671772216711876,-2.9671772216711876,-2.9671772216711876,-2.9671772216711876,134.0,-1.4205753875390787,134.0RB,454.0,1500.0,-3.7167392893429536,-3.7167392893429536,-3.7167392893429536,-106.0,16
River Cracraft,MIA,18.990000000000002,22.68,14.600000000000001,6,539,WR172,496.5,1.1170588235294119,19.690000000000005,1.1582352941176473,1.3341176470588234,0.8588235294117648,WR,-2.9686687663147944,-2.902972457716885,-3.045943941644849,-2.9562580529937876,179.0,-2.118312489983806,179.0WR,455.0,1500.0,-3.455219140596875,-3.3796113948195643,-3.544418078572501,41.5,16
Robbie Chosen,MIA,18.9,26.5,10.809999999999999,6,610,WR198,516.0,1.1117647058823528,19.389999999999993,1.1405882352941172,1.5588235294117647,0.6358823529411763,WR,-2.970262659080871,-2.8342517940813865,-3.1118800888122196,-2.961579917269632,180.0,-2.1268811281118443,180.0WR,456.0,1500.0,-3.457056063865869,-3.3007418733069835,-3.620758461401845,60.0,16
