player,team,position,games,year,rank,WAR,WAR/G,Flex WAR,Flex WAR/G
Jaylen Warren,PIT,RB,15,2025,30.0,2.2,0.15,1.35,0.09
RJ Harvey,DEN,RB,16,2025,31.0,2.18,0.14,1.12,0.07
Jalen Hurts,PHI,QB,16,2025,32.0,2.14,0.13,,
Breece Hall,NYJ,RB,16,2025,33.0,2.13,0.13,1.13,0.07
Kenneth Gainwell,PIT,RB,16,2025,34.0,2.12,0.13,0.92,0.06
Davante Adams,LAR,WR,14,2025,35.0,2.07,0.15,2.09,0.15
Caleb Williams,CHI,QB,16,2025,36.0,1.9,0.12,,
Nico Collins,HOU,WR,15,2025,37.0,1.85,0.12,1.91,0.13
TreVeyon Henderson,NE,RB,16,2025,38.0,1.84,0.12,0.6,0.04
A.J. Brown,PHI,WR,15,2025,39.0,1.83,0.12,1.64,0.11
Drake London,ATL,WR,11,2025,40.0,1.8,0.16,1.54,0.14
George Kittle,SF,TE,10,2025,41.0,1.78,0.18,1.36,0.14
Justin Herbert,LAC,QB,16,2025,42.0,1.76,0.11,,
CeeDee Lamb,DAL,WR,13,2025,43.0,1.76,0.14,1.83,0.14
Bo Nix,DEN,QB,16,2025,44.0,1.74,0.11,,
Omarion Hampton,LAC,RB,9,2025,45.0,1.72,0.19,1.14,0.13
Rashee Rice,KC,WR,8,2025,46.0,1.69,0.21,1.64,0.21
Jared Goff,DET,QB,16,2025,47.0,1.68,0.11,,
Cam Skattebo,NYG,RB,8,2025,48.0,1.64,0.2,1.1,0.14
Quinshon Judkins,CLE,RB,14,2025,49.0,1.63,0.12,0.75,0.05
Brock Bowers,LV,TE,12,2025,50.0,1.62,0.13,1.12,0.09
Wan'Dale Robinson,NYG,WR,16,2025,51.0,1.51,0.09,1.41,0.09
Brock Purdy,SF,QB,8,2025,52.0,1.51,0.19,,
Courtland Sutton,DEN,WR,16,2025,53.0,1.5,0.09,1.49,0.09
Dallas Goedert,PHI,TE,15,2025,54.0,1.5,0.1,0.92,0.06
Bucky Irving,TB,RB,9,2025,55.0,1.49,0.17,0.98,0.11
Kenneth Walker III,SEA,RB,16,2025,56.0,1.47,0.09,0.43,0.03
