player,team,position,games,year,rank,WAR,WAR/G,Superflex WAR,Superflex WAR/G,Flex WAR,Flex WAR/G
Davis Mills,HOU,QB,5,2025,152.0,0.06,0.01,0.4,0.08,,
Tre Tucker,LV,WR,16,2025,153.0,0.05,0.0,-0.12,-0.01,-0.24,-0.02
Carson Wentz,MIN,QB,5,2025,154.0,0.04,0.01,0.5,0.1,,
Trey Benson,ARI,RB,5,2025,155.0,0.02,0.0,-0.3,-0.06,-0.33,-0.07
Kayshon Boutte,NE,WR,13,2025,156.0,0.02,0.0,-0.08,-0.01,-0.18,-0.01
Devin Neal,NO,RB,9,2025,157.0,0.01,0.0,-0.59,-0.07,-0.66,-0.07
Joe Flacco,CIN,QB,12,2025,158.0,0.01,0.0,0.67,0.06,,
Albert Okwuegbunam Jr.,LV,TE,1,2025,159.0,0.0,0.0,-0.03,-0.03,-0.03,-0.03
Jalen McMillan,TB,WR,3,2025,160.0,0.0,0.0,-0.01,-0.0,-0.04,-0.01
Colby Parkinson,LAR,TE,14,2025,161.0,0.0,0.0,-0.51,-0.04,-0.62,-0.04
Mark Andrews,BAL,TE,16,2025,162.0,-0.01,-0.0,-0.6,-0.04,-0.73,-0.05
Theo Wease Jr.,MIA,WR,2,2025,163.0,-0.02,-0.01,-0.02,-0.01,-0.02,-0.01
Miles Sanders,DAL,RB,4,2025,164.0,-0.03,-0.01,-0.29,-0.07,-0.31,-0.08
Isiah Pacheco,KC,RB,13,2025,165.0,-0.03,-0.0,-0.89,-0.07,-0.98,-0.08
Travis Hunter,JAC,WR,7,2025,166.0,-0.04,-0.01,-0.09,-0.01,-0.14,-0.02
Jameis Winston,NYG,QB,3,2025,167.0,-0.05,-0.02,0.13,0.04,,
Devin Singletary,NYG,RB,16,2025,168.0,-0.06,-0.0,-1.22,-0.08,-1.37,-0.09
Ricky Pearsall,SF,WR,10,2025,169.0,-0.06,-0.01,-0.12,-0.01,-0.19,-0.02
Mac Jones,SF,QB,11,2025,170.0,-0.06,-0.01,0.64,0.06,,
Brittain Brown,CHI,RB,2,2025,171.0,-0.06,-0.03,-0.21,-0.11,-0.23,-0.11
Chris Rodriguez Jr.,WAS,RB,12,2025,172.0,-0.07,-0.01,-0.88,-0.07,-0.97,-0.08
Jacardia Wright,SEA,RB,1,2025,173.0,-0.09,-0.09,-0.17,-0.17,-0.19,-0.19
Audric Estime,NO,RB,6,2025,174.0,-0.1,-0.02,-0.55,-0.09,-0.61,-0.1
Amar Johnson,LAC,RB,1,2025,175.0,-0.11,-0.11,-0.2,-0.2,-0.21,-0.21
Myles Gaskin,FA,RB,1,2025,176.0,-0.11,-0.11,-0.2,-0.2,-0.21,-0.21
Sal Cannella,CLE,TE,1,2025,177.0,-0.11,-0.11,-0.15,-0.15,-0.16,-0.16
Jared Wayne,HOU,WR,1,2025,178.0,-0.11,-0.11,-0.13,-0.13,-0.14,-0.14
Kendall Milton,CIN,RB,1,2025,179.0,-0.11,-0.11,-0.21,-0.21,-0.22,-0.22
